2024-06-06 21:11:08,624 [Worker-6: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2024-06-06 21:22:48,670 [Worker-17: Creating project "com.example.databasefailover"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: databasefailover:com.example.databasefailover:0.0.1-SNAPSHOT @ /Users/shameikdutta/Desktop/Java Project/com.example.databasefailover/pom.xml.
2024-06-06 21:22:48,864 [Worker-17: Creating project "com.example.databasefailover"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.example.databasefailover/src/main/java
2024-06-06 21:22:48,865 [Worker-17: Creating project "com.example.databasefailover"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.example.databasefailover/src/main/resources
2024-06-06 21:22:48,865 [Worker-17: Creating project "com.example.databasefailover"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.example.databasefailover/src/test/java
2024-06-06 21:22:48,865 [Worker-17: Creating project "com.example.databasefailover"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.example.databasefailover/src/test/resources
2024-06-06 21:22:49,234 [Worker-17: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-06 21:22:49,237 [Worker-17: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src/main/resources to target/classes
2024-06-06 21:22:49,239 [Worker-17: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-06 21:22:49,239 [Worker-17: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src/test/resources to target/test-classes
2024-06-06 21:26:50,454 [Worker-16: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-06 21:26:50,458 [Worker-16: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src/main/resources to target/classes
2024-06-06 21:26:50,460 [Worker-16: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-06 21:26:50,460 [Worker-16: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src/test/resources to target/test-classes
2024-06-06 21:33:12,313 [Worker-3: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-06-06 21:33:12,391 [Worker-3: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: databasefailover:com.example.databasefailover:0.0.1-SNAPSHOT @ /Users/shameikdutta/Desktop/Java Project/com.example.databasefailover/pom.xml.
2024-06-06 21:33:12,457 [Worker-3: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.example.databasefailover/src/main/java
2024-06-06 21:33:12,458 [Worker-3: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.example.databasefailover/src/main/resources
2024-06-06 21:33:12,458 [Worker-3: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.example.databasefailover/src/test/java
2024-06-06 21:33:12,458 [Worker-3: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.example.databasefailover/src/test/resources
2024-06-06 21:33:12,478 [Worker-3: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed for 1 poms: local refresh takes 0.00 sec, refresh facades takes 0.00 sec, update config takes 0.00 sec 
2024-06-06 21:33:12,598 [Worker-22: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-06 21:33:12,603 [Worker-22: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src/main/resources to target/classes
2024-06-06 21:33:12,605 [Worker-22: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-06 21:33:12,606 [Worker-22: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src/test/resources to target/test-classes
